城市,供应商编码,数量,仓库编码,睿配编码,特殊标识,特殊描述,下单日期,发货日期,到库日期,退回日期,价格
,649756_106,56,bj0001,LTMIC00018,正常入库,,,,2016/1/11,,
,175909_108,40,bj0001,LTMIC00043,正常入库,,,,2016/1/11,,
,780609_101,4,bj0001,LTMIC00105,正常入库,,,,2016/1/11,,
,974304_106,2,bj0001,LTMIC00061,正常入库,,,,2016/3/8,,
,182921_103,7,bj0001,LTMIC00168,特殊入库,13年旧胎,,,2016/3/8,,
,275662_102,8,bj0001,LTMIC00197,特殊入库,错发轮胎,,,2016/3/8,,
,038473_101,36,bj0001,LTMIC00044,正常入库,,,,2016/3/16,,
,903371_104,48,bj0001,LTMIC00050,正常入库,,,,2016/3/16,,
,149663_102,4,bj0001,LTMIC00196,正常入库,,,,2016/3/16,,
